"TOA5","036_WAN","CR800","45590","CR800.Std.32.05","CPU:Acker_V2_72b.CR8","42956","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","LWmV_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","T107_C_Avg","T107_C_SOIL_Avg","VWC_Avg","EC_Max","TB20_Avg","WS_ms_Max"
"TS","RN","Deg C","%","mm","W/m^2","mV","meters/second","Deg","Deg","Deg C","","l/l","dS/m","","meters/second"
"","","Avg","Avg","Tot","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Max","Avg","Max"
"2024-01-01 00:00:00",28758,3.769,93.4,0,0.078,267.5,1.01,267.4,17.26,"NAN","NAN","NAN",0,0,2.17
"2024-01-01 21:50:00",	28889,	4.53,	86.1,	0,	0.178,	266.2,	1.555,	286,	11.44,	"NAN",	"NAN",	"NAN",	0,	0,	2.46
"2024-01-01 22:00:00",	28890,	4.527,	86,	0,	0.083,	266.2,	1.805,	281.3,	14.03,	"NAN",	"NAN",	"NAN",	0,	0,	3.7
"2024-01-01 22:10:00",	28891,	4.818,	84.2,	0,	0.122,	266.2,	1.986,	294,	12.15,	"NAN",	"NAN",	"NAN",	0,	0,	3.28
"2024-01-01 22:20:00",	28892,	4.667,	84.4,	0,	0.011,	266.2,	1.491,	301.7,	10.12,	"NAN",	"NAN",	"NAN",	0,	0,	2.99
"2024-01-01 22:30:00",	28893,	4.481,	84.8,	0,	0.161,	266.2,	1.457,	299.1,	12.69,	"NAN",	"NAN",	"NAN",	0,	0,	2.64
"2024-01-01 22:40:00",	28894,	4.377,	85.2,	0,	0.006,	266.2,	1.597,	295.1,	17.82,	"NAN",	"NAN",	"NAN",	0,	0,	3.09
"2024-01-01 22:50:00",	28895,	4.664,	83.1,	0,	0.111,	266.2,	1.541,	289.9,	13.25,	"NAN",	"NAN",	"NAN",	0,	0,	2.74
"2024-01-01 23:00:00",	28896,	4.605,	83,	0,	0.083,	266.2,	1.557,	289.5,	10.68,	"NAN",	"NAN",	"NAN",	0,	0,	2.75
"2024-01-01 23:10:00",	28897,	4.572,	83,	0,	0.078,	266.2,	1.589,	284.6,	11.99,	"NAN",	"NAN",	"NAN",	0,	0,	3.28
"2024-01-01 23:20:00",	28898,	4.679,	81.9,	0,	0.011,	266.2,	1.398,	286.4,	11.91,	"NAN",	"NAN",	"NAN",	0,	0,	2.61
"2024-01-01 23:30:00",	28899,	4.587,	82.3,	0,	0.155,	266.2,	1.466,	290.5,	10.53,	"NAN",	"NAN",	"NAN",	0,	0,	2.33
"2024-01-01 23:40:00",	28900,	4.947,	80.5,	0,	0.011,	266.2,	1.543,	283.5,	10.39,	"NAN",	"NAN",	"NAN",	0,	0,	2.89
"2024-01-01 23:50:00",	28901,	4.886,	80.4,	0,	0.161,	266.2,	1.328,	287.5,	11.55,	"NAN",	"NAN",	"NAN",	0,	0,	2.54
"2024-01-02 00:00:00",	28902,	4.903,	79.91,	0,	0.094,	266.2,	1.616,	287.4,	13.08,	"NAN",	"NAN",	"NAN",	0,	0,	2.94
"2024-01-02 00:10:00",	28903,	5.111,	78.76,	0,	0.105,	266.2,	1.977,	277.3,	12.53,	"NAN",	"NAN",	"NAN",	0,	0,	3.69
"2024-01-02 00:20:00",	28904,	5.135,	78.27,	0,	0.011,	266.1,	1.884,	278.1,	11.49,	"NAN",	"NAN",	"NAN",	0,	0,	3.96
"2024-01-02 00:30:00",	28905,	5.04,	78.44,	0,	0.155,	266.1,	1.553,	275.8,	11.3,	"NAN",	"NAN",	"NAN",	0,	0,	2.7
